date,value
0330,95950
0330,96500
0426,-180930
0430,148500
0518,-139590
0528,126000
0528,-118440
0629,76000
0709,50000
0709,24000
0716,-1000
0716,-140000
0805,28500
0825,41600
0826,37500
0826,42000
0830,-20000
0831,-20000
0901,-20000
0903,-20000
0907,15500
0907,50000
0907,-20000
0908,-20000
0909,-20000
0910,40000
0910,22500
0918,-40000
0918,-20000
0918,-40000
0922,-20000
0923,40000
0923,16500
0923,28600
1026,50000
1026,2500
1027,-130000
1027,50000
1027,6350
1028,-5000
1110,-53000
1110,-15000
1130,3280
1130,50000
1130,2800
1130,50000
1201,50000
1201,32650
1216,-77000
1216,-20000
1217,-20000
1222,-20000
1222,-20000
1222,-20000
1227,46850
1227,32500
1230,-20000
1230,-20000
1230,-20000
1230,-20000
1231,-20000